movimentacao_id,numero_processo,data_movimentacao,tipo_ato,advogado_responsavel,descricao,prazo_gerado,concluido
1511,4090182-95.2021.1.57.7189,2024-12-21,agravo regimental,Dr. Melo,juntada de documentos realizada,,
1512,1095980-10.2020.7.77.8313,30 de outubro de 2022,habilitação,Dr. Barros,diligência externa necessária,31 de julho de 2026,sim
1513,2884639-86.2023.2.31.8737,2023-03-20,contestação,Dra Fontes,juntada de documentos realizada,,N
1514,5867457-18.2023.9.16.7298,5 de outubro de 2021,petição inicial,Dra. Fontes,,,sim
1515,7862554-22.2024.7.83.6459,02/07/2021,intimação,Dr. Melo,prazo para recurso: 26 dias úteis a contar da intimação,,0
1516,1784068-27.2021.3.12.2538,2024-09-02,sentença,Dr. Barros,prazo para recurso: 14 dias úteis a contar da intimação,,0
1517,7916680-90.2022.1.67.1785,2025-09-28,laudo pericial,Dra Fontes,aguardando manifestação da parte contrária,15/01/2026,N
1518,1784068-27.2021.3.12.2538,23/10/2023,agravo regimental,Dra Fontes,prazo para recurso: 25 dias úteis a contar da intimação,15 de abril de 2026,0
1519,8097721-13.2023.1.47.8354,11/04/2021,agravo regimental,dr. melo,audiência marcada para 25 de abril de 2026,,0
1520,3821719-15.2025.2.86.2518,19 de dezembro de 2022,laudo pericial,dr. melo,documentos pendentes de entrega pelo cliente,,0
1521,2753004-76.2021.8.83.9874,2025-07-24,audiência de instrução,Dra. Fontes,,18/11/26,0
1522,3734843-61.2021.3.94.2954,12/08/22,citação,Dr. Barros,aguardando manifestação da parte contrária,,N
1523,1311508-84.2020.3.38.8512,05/10/20,citação,Dra. Fontes,audiência marcada para 11 de junho de 2026,,não
1524,2316290-44.2022.7.34.5190,02/10/2021,despacho,dr. melo,documentos pendentes de entrega pelo cliente,,não
1525,3585301-47.2021.7.73.3469,30/12/2022,laudo pericial,Dr. Melo,,,S
1526,9686751-57.2022.7.62.3494,2025-11-17,recurso de apelação,Dr. Melo,documentos pendentes de entrega pelo cliente,10/06/2026,S
1527,1833330-93.2025.8.61.3405,1 de novembro de 2022,contestação,Dra. Cavalcante,audiência marcada para 12/09/26,,N
1528,2100417-68.2021.7.29.9662,2022-03-19,recurso de apelação,dr. melo,diligência externa necessária,,0
1529,7236875-79.2024.7.97.5566,24/04/26,agravo regimental,Dr. Barros,juntada de documentos realizada,,1
1530,4433355-55.2023.8.48.9346,2024-07-05,despacho,DRA. CAVALCANTE,,06/05/26,S
1531,5144296-22.2022.4.87.9648,2020-04-03,contestação,Dr. Barros,audiência marcada para 2026-11-23,,não
1532,6686912-30.2025.4.68.7078,06/01/2026,intimação,Dr. Barros,,,sim
1533,1353022-94.2023.9.79.1203,21 de setembro de 2025,citação,DRA. CAVALCANTE,audiência marcada para 27/09/26,2026-06-15,S
1534,6368709-92.2024.7.99.9426,20 de novembro de 2021,réplica,Dr. Barros,,,1
1535,7941836-76.2025.4.34.6543,11/11/2025,citação,dr. melo,,2026-06-05,não
1536,2118934-75.2023.5.97.9563,2023-10-16,laudo pericial,Dr. Barros,documentos pendentes de entrega pelo cliente,,não
1537,4092125-65.2025.3.26.9073,2025-05-10,laudo pericial,Dra. Cavalcante,,,sim
1538,3260101-88.2022.8.37.9169,30/04/22,citação,dr. melo,prazo para recurso: 30 dias úteis a contar da intimação,,não
1539,9425559-65.2022.6.99.1309,2025-05-02,sentença,Dra. Fontes,aguardando manifestação da parte contrária,,S
1540,5451988-41.2020.2.82.4041,03/10/20,habilitação,Dra Fontes,diligência externa necessária,09/06/2026,N
1541,8129073-22.2024.4.16.9656,2025-01-10,agravo regimental,Dr. Melo,Prazo fatal: 26/11/2026,,
1542,8574876-96.2020.7.97.4673,25 de fevereiro de 2025,agravo regimental,Dr. Barros,juntada de documentos realizada,,
1543,7722274-26.2024.9.14.7062,2025-01-26,agravo regimental,Dra. Fontes,prazo para recurso: 25 dias úteis a contar da intimação,,1
1544,6927716-18.2022.9.56.1445,10/03/22,agravo regimental,Dra. Fontes,audiência marcada para 13/11/2026,,N
1545,5214684-96.2020.6.84.9986,13/07/2023,contestação,Dra Fontes,juntada de documentos realizada,,sim
1546,2909764-51.2025.7.78.2223,2022-06-21,memoriais,Dr. Barros,juntada de documentos realizada,,N
1547,5112941-62.2021.1.89.5887,24 de agosto de 2024,recurso de apelação,Dra. Cavalcante,diligência externa necessária,,S
1548,5159882-37.2022.9.71.7550,2 de junho de 2021,habilitação,Dra Fontes,juntada de documentos realizada,,1
1549,3395583-64.2024.4.41.2181,14/03/26,agravo regimental,Dr. Barros,prazo para recurso: 23 dias úteis a contar da intimação,,sim
1550,1628717-84.2025.8.67.8313,2022-12-01,intimação,Dr. Barros,Prazo fatal: 05/09/26,2026-10-05,sim
1551,4452862-76.2021.3.27.3238,2019-12-19,embargos de declaração,Dr. Barros,juntada de documentos realizada,,sim
1552,7999133-20.2023.7.26.1121,12 de agosto de 2022,réplica,Dra Fontes,documentos pendentes de entrega pelo cliente,1 de julho de 2026,0
1553,9110060-16.2025.2.29.4716,17/03/20,embargos de declaração,Dra. Fontes,,,
1554,5492622-29.2021.9.92.7737,2020-05-21,réplica,Dra. Fontes,juntada de documentos realizada,,não
1555,7320713-89.2022.3.68.7881,2019-06-13,acordo extrajudicial,Dr. Barros,prazo para recurso: 24 dias úteis a contar da intimação,,N
1556,5050722-10.2024.8.29.4298,2024-06-22,audiência de instrução,Dr. Barros,,,
1557,2316290-44.2022.7.34.5190,19/04/21,sentença,Dra Fontes,diligência externa necessária,18/01/2026,0
1558,3168718-77.2025.2.92.8027,2019-11-20,audiência de instrução,Dra. Cavalcante,,,não
1559,9319285-35.2025.3.19.9131,17/06/23,memoriais,Dr. Barros,aguardando manifestação da parte contrária,,0
1560,8539686-69.2023.4.36.2235,3 de abril de 2025,acordo extrajudicial,Dr. Barros,audiência marcada para 14/08/26,22/02/26,N
1561,1614850-25.2020.8.85.3161,13/09/2020,despacho,Dr. Barros,Prazo fatal: 08/02/2026,,não
1562,4090182-95.2021.1.57.7189,04/12/2020,contestação,Dra. Cavalcante,,,
1563,3168718-77.2025.2.92.8027,2023-06-18,recurso de apelação,Dr. Melo,diligência externa necessária,,1
1564,5853247-29.2020.7.62.8870,06/08/21,agravo regimental,dr. melo,Prazo fatal: 18/04/26,,0
1565,7848147-32.2021.6.58.3528,21/11/2022,sentença,dr. melo,documentos pendentes de entrega pelo cliente,11/09/26,não
1566,5853247-29.2020.7.62.8870,22 de setembro de 2022,audiência de instrução,DRA. CAVALCANTE,aguardando manifestação da parte contrária,11 de março de 2026,N
1567,1964519-55.2020.7.58.6781,19/09/2021,laudo pericial,Dr. Melo,documentos pendentes de entrega pelo cliente,23/08/2026,não
1568,8590346-68.2020.7.63.7780,30/06/2020,sentença,Dr. Barros,diligência externa necessária,2026-10-03,sim
1569,3496733-55.2020.2.43.8503,3 de setembro de 2019,réplica,Dra. Fontes,,28/04/2026,0
1570,4460247-99.2024.9.97.4840,16/03/2020,acordo extrajudicial,DRA. CAVALCANTE,,,
1571,5953905-94.2022.5.44.3245,29/12/25,petição inicial,dr. melo,audiência marcada para 06/03/26,,não
1572,3306375-34.2024.9.48.9154,2024-10-19,audiência de instrução,Dr. Barros,Prazo fatal: 15/07/2026,21 de dezembro de 2026,0
1573,5625093-80.2022.9.16.6618,29 de julho de 2025,agravo regimental,Dr. Barros,aguardando manifestação da parte contrária,11/02/2026,1
1574,9666878-83.2023.6.29.9905,22/05/20,agravo regimental,Dr. Melo,aguardando manifestação da parte contrária,2026-04-05,1
1575,8749473-21.2020.4.12.9144,20 de janeiro de 2021,petição inicial,Dr. Melo,Prazo fatal: 20 de novembro de 2026,11/11/2026,S
1576,9824532-76.2023.6.37.2040,18 de julho de 2025,acordo extrajudicial,DRA. CAVALCANTE,prazo para recurso: 11 dias úteis a contar da intimação,,1
1577,2186433-37.2022.2.12.4344,28/01/19,réplica,dr. melo,,,0
1578,3505690-87.2020.8.52.6260,24 de fevereiro de 2026,citação,DRA. CAVALCANTE,prazo para recurso: 8 dias úteis a contar da intimação,30/11/26,S
1579,5660649-86.2020.5.86.9291,2025-07-20,sentença,dr. melo,prazo para recurso: 10 dias úteis a contar da intimação,,
1580,1116024-57.2025.8.16.4043,25/08/23,intimação,Dra. Cavalcante,prazo para recurso: 7 dias úteis a contar da intimação,,não
1581,3922248-27.2025.1.42.4047,2022-04-17,memoriais,DRA. CAVALCANTE,diligência externa necessária,2026-08-29,N
1582,9168044-67.2022.1.26.3054,2023-10-28,memoriais,Dra. Fontes,audiência marcada para 16/06/2026,18 de outubro de 2026,1
1583,1116024-57.2025.8.16.4043,2024-10-22,habilitação,Dr. Barros,prazo para recurso: 26 dias úteis a contar da intimação,,não
1584,2411026-52.2022.6.26.7373,9 de março de 2020,réplica,Dra. Fontes,juntada de documentos realizada,,0
1585,4299848-20.2023.2.47.7396,6 de fevereiro de 2025,agravo regimental,Dr. Barros,Prazo fatal: 2026-11-23,,sim
1586,1742202-63.2023.6.68.9372,25 de agosto de 2020,sentença,Dra Fontes,aguardando manifestação da parte contrária,,S
1587,5625093-80.2022.9.16.6618,2025-01-24,recurso de apelação,Dra Fontes,aguardando manifestação da parte contrária,,
1588,8323566-47.2021.3.26.4644,2 de junho de 2021,citação,Dra. Cavalcante,prazo para recurso: 19 dias úteis a contar da intimação,,
1589,1966014-66.2022.7.82.2137,2024-04-06,citação,Dr. Barros,documentos pendentes de entrega pelo cliente,16 de outubro de 2026,não
1590,1095980-10.2020.7.77.8313,2023-01-29,despacho,Dra Fontes,,,
1591,8886588-26.2020.9.65.6361,15/05/22,audiência de instrução,dr. melo,prazo para recurso: 6 dias úteis a contar da intimação,,0
1592,8986773-71.2022.6.45.5854,12/12/2023,memoriais,Dra Fontes,,,1
1593,7599278-46.2021.4.96.3535,13 de novembro de 2023,réplica,dr. melo,documentos pendentes de entrega pelo cliente,2026-12-09,sim
1594,2294596-63.2020.6.38.9193,06/10/22,embargos de declaração,Dr. Barros,,2 de setembro de 2026,1
1595,4092125-65.2025.3.26.9073,22/01/2025,despacho,Dr. Barros,prazo para recurso: 24 dias úteis a contar da intimação,,não
1596,7640585-40.2023.1.57.1721,11 de fevereiro de 2022,intimação,Dra Fontes,juntada de documentos realizada,,1
1597,1024421-54.2022.9.20.2563,22 de março de 2026,recurso de apelação,DRA. CAVALCANTE,aguardando manifestação da parte contrária,,1
1598,9774395-92.2023.2.75.3192,29/04/2019,contestação,DRA. CAVALCANTE,,,N
1599,6018860-77.2022.1.94.1315,2025-12-05,audiência de instrução,Dra. Cavalcante,Prazo fatal: 21/04/2026,2026-09-05,sim
1600,8323566-47.2021.3.26.4644,2020-08-28,acordo extrajudicial,Dra. Fontes,aguardando manifestação da parte contrária,,1
1601,7236875-79.2024.7.97.5566,2020-12-30,memoriais,Dr. Melo,audiência marcada para 22 de junho de 2026,,S
1602,4938178-62.2020.7.27.6072,2022-10-18,agravo regimental,Dr. Barros,Prazo fatal: 27/11/2026,2026-08-11,não
1603,4180949-86.2020.3.26.7593,2024-10-24,memoriais,Dra. Fontes,prazo para recurso: 5 dias úteis a contar da intimação,,não
1604,3679963-72.2020.9.29.7859,20/07/24,agravo regimental,Dr. Barros,aguardando manifestação da parte contrária,,
1605,1964519-55.2020.7.58.6781,2022-02-03,agravo regimental,Dra Fontes,diligência externa necessária,06/11/2026,sim
1606,3401866-56.2021.1.87.5297,2023-03-08,acordo extrajudicial,DRA. CAVALCANTE,diligência externa necessária,,S
1607,9573194-21.2022.1.35.8352,13 de agosto de 2020,petição inicial,DRA. CAVALCANTE,aguardando manifestação da parte contrária,09/03/2026,não
1608,9636371-69.2025.8.67.4068,6 de setembro de 2025,sentença,DRA. CAVALCANTE,aguardando manifestação da parte contrária,,sim
1609,7222167-30.2022.8.44.7452,2023-04-12,embargos de declaração,DRA. CAVALCANTE,prazo para recurso: 19 dias úteis a contar da intimação,06/06/2026,0
1610,8714773-70.2022.9.65.8541,28 de agosto de 2020,acordo extrajudicial,Dr. Melo,prazo para recurso: 10 dias úteis a contar da intimação,,não
1611,4824419-32.2024.5.47.3265,09/11/2019,citação,Dr. Barros,diligência externa necessária,,N
1612,2231929-89.2024.6.41.5461,31/03/2020,habilitação,Dra. Fontes,juntada de documentos realizada,26/01/26,sim
1613,3754895-37.2021.6.18.8502,2020-06-06,agravo regimental,Dr. Barros,,,S
1614,3588109-63.2023.1.26.4223,2023-08-07,contestação,Dra Fontes,documentos pendentes de entrega pelo cliente,15/03/26,
1615,1346701-74.2024.1.65.8985,18 de novembro de 2023,memoriais,Dra Fontes,diligência externa necessária,,sim
1616,9798556-59.2021.3.62.3110,2021-06-27,recurso de apelação,Dra. Fontes,juntada de documentos realizada,26/01/2026,sim
1617,8749473-21.2020.4.12.9144,2025-06-25,despacho,Dra. Fontes,prazo para recurso: 18 dias úteis a contar da intimação,03/04/2026,
1618,3464073-25.2022.8.73.5075,21 de março de 2025,sentença,DRA. CAVALCANTE,Prazo fatal: 28 de janeiro de 2026,21 de dezembro de 2026,1
1619,4433355-55.2023.8.48.9346,04/03/2024,audiência de instrução,Dra. Cavalcante,,22 de janeiro de 2026,0
1620,6034606-21.2023.6.18.6684,25 de fevereiro de 2021,acordo extrajudicial,Dra. Fontes,documentos pendentes de entrega pelo cliente,,1
1621,2100417-68.2021.7.29.9662,16/05/21,audiência de instrução,Dra Fontes,juntada de documentos realizada,14/03/26,0
1622,3734843-61.2021.3.94.2954,03/08/20,citação,dr. melo,Prazo fatal: 09/03/26,,0
1623,2675642-32.2022.8.65.5499,28 de abril de 2025,recurso de apelação,Dr. Melo,juntada de documentos realizada,,S
1624,8286828-70.2022.9.31.8012,12/01/21,memoriais,DRA. CAVALCANTE,diligência externa necessária,,0
1625,4865461-96.2025.2.64.9143,25/05/22,intimação,Dr. Barros,aguardando manifestação da parte contrária,,
1626,3785792-10.2020.5.78.7940,02/02/2023,habilitação,Dr. Melo,,,N
1627,7553290-31.2023.9.36.9282,20/10/2024,habilitação,dr. melo,documentos pendentes de entrega pelo cliente,18/07/26,1
1628,7065068-16.2021.7.14.6489,24/12/22,habilitação,Dr. Barros,aguardando manifestação da parte contrária,,N
1629,3168718-77.2025.2.92.8027,5 de junho de 2021,sentença,Dra. Fontes,audiência marcada para 6 de outubro de 2026,,1
1630,5210656-44.2021.1.39.2474,2025-03-21,agravo regimental,Dra. Fontes,aguardando manifestação da parte contrária,,0
1631,6075721-43.2020.9.85.8738,2025-02-07,memoriais,DRA. CAVALCANTE,diligência externa necessária,,
1632,5733649-38.2020.2.35.3379,10/05/2025,laudo pericial,DRA. CAVALCANTE,Prazo fatal: 12/03/26,2026-12-27,sim
1633,4326518-76.2023.4.36.8530,10 de março de 2026,citação,DRA. CAVALCANTE,,,0
1634,8678370-92.2025.7.35.9962,12 de agosto de 2023,laudo pericial,dr. melo,prazo para recurso: 28 dias úteis a contar da intimação,28 de junho de 2026,S
1635,1615190-23.2022.2.42.6238,07/08/22,petição inicial,Dr. Barros,Prazo fatal: 20/01/2026,,
1636,9319285-35.2025.3.19.9131,23/12/20,contestação,Dra Fontes,documentos pendentes de entrega pelo cliente,,0
1637,6694761-39.2022.1.10.2199,23/02/26,sentença,Dra. Cavalcante,,,1
1638,2328070-99.2024.8.57.5561,2023-03-21,intimação,Dra. Cavalcante,prazo para recurso: 19 dias úteis a contar da intimação,,sim
1639,3401866-56.2021.1.87.5297,17 de junho de 2025,despacho,dr. melo,prazo para recurso: 24 dias úteis a contar da intimação,,S
1640,5755257-93.2020.8.44.2882,2021-02-01,citação,dr. melo,prazo para recurso: 15 dias úteis a contar da intimação,2026-03-07,S
1641,5266269-78.2021.7.59.1392,16 de julho de 2020,habilitação,DRA. CAVALCANTE,audiência marcada para 15/12/2026,,não
1642,8157599-64.2024.2.89.5276,2023-08-06,petição inicial,Dr. Barros,documentos pendentes de entrega pelo cliente,2026-07-31,
1643,5700249-43.2020.5.57.9341,2023-03-24,intimação,Dr. Barros,Prazo fatal: 08/01/26,,não
1644,9252661-70.2020.1.46.1185,16/03/24,sentença,Dr. Barros,diligência externa necessária,11/07/2026,1
1645,7951127-89.2024.1.63.3502,7 de setembro de 2023,agravo regimental,DRA. CAVALCANTE,audiência marcada para 2026-12-02,,
1646,8062805-72.2022.1.22.8771,14/08/25,citação,Dr. Barros,Prazo fatal: 2026-03-14,,0
1647,7141324-67.2025.3.86.3413,2020-04-15,agravo regimental,Dra. Cavalcante,diligência externa necessária,,não
1648,7848147-32.2021.6.58.3528,14 de abril de 2020,contestação,Dra. Fontes,documentos pendentes de entrega pelo cliente,,0
1649,3710559-31.2020.9.95.2540,14/04/23,petição inicial,Dra. Cavalcante,documentos pendentes de entrega pelo cliente,,
1650,3168718-77.2025.2.92.8027,06/09/22,embargos de declaração,Dr. Barros,juntada de documentos realizada,27 de novembro de 2026,S
1651,8886588-26.2020.9.65.6361,2024-09-05,despacho,Dr. Barros,Prazo fatal: 01/10/2026,2026-10-07,1
1652,4417916-40.2022.7.26.4278,05/07/24,intimação,Dr. Barros,audiência marcada para 2026-09-19,,não
1653,1633270-27.2024.2.52.7034,22/11/2022,sentença,Dra. Fontes,documentos pendentes de entrega pelo cliente,2026-01-17,N
1654,8714773-70.2022.9.65.8541,01/06/24,réplica,Dra. Cavalcante,audiência marcada para 2026-06-18,,S
1655,2658962-39.2022.5.95.8856,16/07/2024,despacho,Dr. Melo,prazo para recurso: 10 dias úteis a contar da intimação,,sim
1656,5074974-98.2023.8.21.9881,2025-04-18,despacho,Dr. Barros,Prazo fatal: 2026-01-28,,S
1657,7065068-16.2021.7.14.6489,05/05/2020,sentença,Dra. Cavalcante,juntada de documentos realizada,,S
1658,7724543-49.2023.9.44.7412,25/05/24,sentença,Dr. Barros,documentos pendentes de entrega pelo cliente,,1
1659,5850223-43.2020.3.81.3185,11 de junho de 2021,embargos de declaração,Dra Fontes,juntada de documentos realizada,,sim
1660,7320713-89.2022.3.68.7881,04/10/2025,contestação,Dra Fontes,diligência externa necessária,,N
1661,7862554-22.2024.7.83.6459,01/01/2024,petição inicial,Dr. Barros,aguardando manifestação da parte contrária,,S
1662,4084503-92.2025.8.90.5515,08/09/2025,memoriais,Dr. Barros,audiência marcada para 05/04/2026,2026-04-11,N
1663,7136189-41.2024.2.60.1768,2024-02-17,réplica,Dr. Barros,prazo para recurso: 8 dias úteis a contar da intimação,,0
1664,4961530-22.2021.4.22.6290,17/04/2025,laudo pericial,Dr. Melo,,,não
1665,4092125-65.2025.3.26.9073,08/02/2026,contestação,Dr. Barros,,,
1666,4824419-32.2024.5.47.3265,28/01/21,contestação,dr. melo,,15/04/2026,1
1667,7840442-26.2025.9.53.5093,26/04/23,petição inicial,Dra. Cavalcante,prazo para recurso: 22 dias úteis a contar da intimação,01/09/26,N
1668,2341370-92.2024.9.60.8122,08/09/20,audiência de instrução,Dr. Barros,audiência marcada para 30/06/26,08/04/2026,sim
1669,6384831-67.2022.5.89.7429,07/07/2025,réplica,Dra. Fontes,diligência externa necessária,,S
1670,8936104-83.2022.1.39.7934,24 de março de 2023,agravo regimental,Dr. Barros,juntada de documentos realizada,22/08/2026,
1671,1098476-20.2021.1.47.3336,2025-04-27,acordo extrajudicial,Dr. Barros,diligência externa necessária,,não
1672,4384627-80.2021.2.13.1061,25 de dezembro de 2025,réplica,Dra. Cavalcante,Prazo fatal: 17/09/2026,,S
1673,7398699-88.2025.6.55.3587,24/12/24,memoriais,Dra Fontes,audiência marcada para 05/09/26,,sim
1674,4092125-65.2025.3.26.9073,04/10/2021,réplica,dr. melo,,,não
1675,3785792-10.2020.5.78.7940,2019-04-10,acordo extrajudicial,Dr. Barros,Prazo fatal: 22/09/2026,,N
1676,4064382-39.2022.4.13.8937,11 de março de 2023,petição inicial,Dr. Melo,Prazo fatal: 06/02/26,,não
1677,6404948-40.2021.7.68.7161,2024-02-01,petição inicial,Dra. Fontes,audiência marcada para 28/04/2026,15/09/2026,não
1678,4824419-32.2024.5.47.3265,17/04/2023,acordo extrajudicial,Dra Fontes,diligência externa necessária,,
1679,4874996-38.2022.9.94.8154,20/11/2024,audiência de instrução,Dra Fontes,Prazo fatal: 12/04/26,,não
1680,1931030-34.2024.8.48.5319,2024-04-09,contestação,dr. melo,juntada de documentos realizada,,1
1681,6036037-32.2025.3.53.7515,05/02/2022,intimação,dr. melo,juntada de documentos realizada,03/09/26,N
1682,1667591-67.2025.4.69.9424,22/03/26,sentença,Dra Fontes,aguardando manifestação da parte contrária,,sim
1683,9804642-71.2024.4.76.5486,16/02/25,recurso de apelação,dr. melo,juntada de documentos realizada,,0
1684,7245951-43.2021.4.11.7623,21 de outubro de 2020,memoriais,Dr. Melo,aguardando manifestação da parte contrária,,sim
1685,3588109-63.2023.1.26.4223,17/04/22,agravo regimental,Dr. Barros,aguardando manifestação da parte contrária,2026-01-09,
1686,3975387-89.2023.4.55.7631,2020-03-29,embargos de declaração,Dr. Barros,prazo para recurso: 10 dias úteis a contar da intimação,,1
1687,4326518-76.2023.4.36.8530,2022-03-25,intimação,DRA. CAVALCANTE,audiência marcada para 11/06/26,,S
1688,5472823-70.2022.4.41.7624,17/05/2024,agravo regimental,Dr. Barros,Prazo fatal: 17/01/26,,sim
1689,5492622-29.2021.9.92.7737,06/06/22,laudo pericial,Dra. Cavalcante,prazo para recurso: 16 dias úteis a contar da intimação,24/08/26,1
1690,2632721-15.2024.7.90.9593,2025-07-15,despacho,DRA. CAVALCANTE,juntada de documentos realizada,2026-11-05,N
1691,9076234-78.2023.3.90.2702,2019-09-08,despacho,DRA. CAVALCANTE,Prazo fatal: 2026-08-21,2026-08-03,N
1692,7813974-60.2021.1.81.1542,2019-08-09,citação,Dr. Melo,Prazo fatal: 01/04/26,,1
1693,6416661-36.2021.8.21.8496,27/03/2020,audiência de instrução,Dra. Cavalcante,prazo para recurso: 29 dias úteis a contar da intimação,,sim
1694,2519059-58.2022.7.86.4385,20 de novembro de 2022,petição inicial,Dr. Barros,diligência externa necessária,,S
1695,4131852-60.2020.1.89.9739,27/05/22,intimação,dr. melo,,26/02/2026,
1696,2316290-44.2022.7.34.5190,2025-05-28,agravo regimental,Dra. Fontes,documentos pendentes de entrega pelo cliente,,S
1697,1833330-93.2025.8.61.3405,14/09/2024,embargos de declaração,Dra. Cavalcante,prazo para recurso: 10 dias úteis a contar da intimação,,S
1698,5239450-56.2022.7.99.2371,16/08/2024,recurso de apelação,DRA. CAVALCANTE,,20 de março de 2026,0
1699,1024421-54.2022.9.20.2563,10 de maio de 2023,audiência de instrução,Dr. Barros,diligência externa necessária,,não
1700,7820540-78.2023.1.75.4823,31/07/22,despacho,DRA. CAVALCANTE,juntada de documentos realizada,,sim
1701,1633270-27.2024.2.52.7034,2019-07-31,habilitação,Dra Fontes,Prazo fatal: 2026-04-01,07/11/2026,N
1702,6528202-89.2025.3.17.9496,10/12/24,acordo extrajudicial,dr. melo,audiência marcada para 09/04/26,,sim
1703,1628717-84.2025.8.67.8313,8 de agosto de 2019,audiência de instrução,Dr. Barros,audiência marcada para 04/06/26,,1
1704,1667591-67.2025.4.69.9424,19/07/2019,intimação,Dra. Fontes,documentos pendentes de entrega pelo cliente,2026-05-07,não
1705,4417916-40.2022.7.26.4278,14/08/23,laudo pericial,Dr. Barros,Prazo fatal: 01/01/26,,S
1706,7243958-65.2020.5.25.5047,25 de outubro de 2021,sentença,DRA. CAVALCANTE,aguardando manifestação da parte contrária,,1
1707,5217157-98.2020.2.64.4094,10/05/22,memoriais,DRA. CAVALCANTE,,,sim
1708,8843195-99.2024.6.39.2836,25 de maio de 2019,réplica,Dra. Cavalcante,audiência marcada para 21/11/26,,S
1709,7999133-20.2023.7.26.1121,27/06/24,sentença,Dra. Cavalcante,audiência marcada para 28/08/26,,1
1710,8588997-88.2020.6.29.5987,2023-01-04,embargos de declaração,Dra. Cavalcante,aguardando manifestação da parte contrária,,não
1711,9062552-47.2024.4.22.8265,24/08/2024,audiência de instrução,Dr. Barros,prazo para recurso: 19 dias úteis a contar da intimação,,0
1712,7320713-89.2022.3.68.7881,06/09/2022,embargos de declaração,Dra Fontes,documentos pendentes de entrega pelo cliente,,S
1713,1887163-62.2025.9.93.1037,06/12/2023,embargos de declaração,Dra Fontes,diligência externa necessária,,
1714,6368709-92.2024.7.99.9426,17 de janeiro de 2021,sentença,Dr. Barros,prazo para recurso: 28 dias úteis a contar da intimação,20/04/2026,sim
1715,6528202-89.2025.3.17.9496,12/01/25,citação,Dra. Cavalcante,prazo para recurso: 18 dias úteis a contar da intimação,,não
1716,5159219-49.2023.5.25.3676,24/10/2024,réplica,Dra. Fontes,diligência externa necessária,,S
1717,5472823-70.2022.4.41.7624,28 de março de 2026,citação,Dra Fontes,documentos pendentes de entrega pelo cliente,,
1718,4601686-30.2021.5.52.7745,05/03/26,acordo extrajudicial,Dr. Barros,aguardando manifestação da parte contrária,,N
1719,7948577-74.2025.1.60.7583,14 de março de 2020,sentença,Dra. Fontes,audiência marcada para 02/08/26,12 de fevereiro de 2026,1
1720,3734843-61.2021.3.94.2954,2026-02-28,memoriais,dr. melo,Prazo fatal: 30 de janeiro de 2026,8 de julho de 2026,1
1721,5638123-23.2024.7.30.5009,2021-07-21,petição inicial,Dr. Barros,,,S
1722,5210656-44.2021.1.39.2474,2025-07-20,despacho,Dr. Barros,Prazo fatal: 21/11/2026,,não
1723,8843195-99.2024.6.39.2836,2019-03-01,memoriais,Dr. Barros,Prazo fatal: 17 de março de 2026,,S
1724,1869144-23.2023.5.84.3325,2019-08-21,embargos de declaração,dr. melo,Prazo fatal: 13/04/2026,,0
1725,1013314-48.2023.4.39.2083,01/09/24,citação,DRA. CAVALCANTE,audiência marcada para 26/07/2026,01/03/26,N
1726,5732779-86.2025.4.28.7831,02/09/2024,citação,Dr. Melo,documentos pendentes de entrega pelo cliente,,1
1727,2019436-32.2020.6.16.9856,03/08/2021,acordo extrajudicial,dr. melo,Prazo fatal: 27/08/2026,,1
1728,1099617-37.2023.9.61.1793,21 de abril de 2022,acordo extrajudicial,DRA. CAVALCANTE,Prazo fatal: 2026-07-08,,S
1729,1183693-37.2024.1.85.2937,07/07/2020,citação,Dra. Cavalcante,aguardando manifestação da parte contrária,2026-03-13,sim
1730,4568537-97.2021.4.82.7633,14/09/2020,memoriais,dr. melo,documentos pendentes de entrega pelo cliente,,não
1731,8749473-21.2020.4.12.9144,28/01/2023,embargos de declaração,DRA. CAVALCANTE,juntada de documentos realizada,26/10/26,
1732,5144296-22.2022.4.87.9648,19 de novembro de 2020,acordo extrajudicial,DRA. CAVALCANTE,,,1
1733,5074974-98.2023.8.21.9881,2024-11-09,despacho,Dr. Barros,prazo para recurso: 30 dias úteis a contar da intimação,,não
1734,6003915-30.2025.6.37.7681,22/10/2022,réplica,Dr. Barros,aguardando manifestação da parte contrária,,S
1735,1272937-41.2023.5.75.9958,2025-06-07,embargos de declaração,Dr. Melo,Prazo fatal: 10/02/2026,,N
1736,1353022-94.2023.9.79.1203,11/09/2022,agravo regimental,Dra Fontes,,13/05/2026,S
1737,1778149-24.2023.1.86.3557,20 de setembro de 2020,memoriais,dr. melo,,06/01/2026,0
1738,9810112-12.2021.1.97.8847,07/05/2024,audiência de instrução,Dr. Melo,audiência marcada para 30 de maio de 2026,2026-01-10,1
1739,6334947-38.2020.4.71.6173,20/12/2024,embargos de declaração,Dra. Fontes,aguardando manifestação da parte contrária,,sim
1740,9408522-77.2021.3.36.8376,01/06/25,audiência de instrução,Dra. Fontes,audiência marcada para 30/07/2026,,
1741,4568537-97.2021.4.82.7633,2021-10-16,habilitação,Dr. Barros,juntada de documentos realizada,,N
1742,8905709-90.2020.9.55.2471,2022-03-20,memoriais,Dra. Fontes,,19/01/26,
